day_id,day_of_week,hour,ACTIVITY_NAME,ACTIVITY_NAME_ENC
3,3,18,Eating and Drinking,1
3,3,19,Socializing and Leisure,8
3,3,20,Socializing and Leisure,8
3,3,21,Socializing and Leisure,8
3,3,22,Socializing and Leisure,8
3,3,23,Sleeping,7
4,4,0,Sleeping,7
4,4,1,Sleeping,7
4,4,2,Sleeping,7
4,4,3,Sleeping,7
4,4,4,Sleeping,7
4,4,5,Eating and Drinking,1
4,4,6,Personal Care,4
4,4,7,Household Activities,3
4,4,8,Traveling / Commuting,10
4,4,9,Working,11
4,4,10,Working,11
4,4,11,Education,2
4,4,12,Eating and Drinking,1
4,4,13,Eating and Drinking,1
4,4,14,Working,11
4,4,15,Working,11
4,4,16,Traveling / Commuting,10
4,4,17,Traveling / Commuting,10
4,4,18,Socializing and Leisure,8
4,4,19,Education,2
4,4,20,Sports and Exercise,9
4,4,21,Personal Care,4
4,4,22,Socializing and Leisure,8
4,4,23,Sleeping,7
5,5,0,Sleeping,7
5,5,1,Eating and Drinking,1
5,5,2,Sleeping,7
5,5,3,Sleeping,7
5,5,4,Sleeping,7
5,5,5,Personal Care,4
5,5,6,Education,2
5,5,7,Traveling / Commuting,10
5,5,8,Personal Care,4
5,5,9,Shopping,6
5,5,10,Working,11
5,5,11,Working,11
5,5,12,Eating and Drinking,1
5,5,13,Working,11
5,5,14,Traveling / Commuting,10
5,5,15,Working,11
5,5,16,Shopping,6
5,5,17,Sports and Exercise,9
5,5,18,Household Activities,3
5,5,19,Religious and Volunteer Activities,5
5,5,20,Religious and Volunteer Activities,5
5,5,21,Eating and Drinking,1
5,5,22,Personal Care,4
5,5,23,Sleeping,7
6,6,0,Sleeping,7
6,6,1,Sleeping,7
6,6,2,Sleeping,7
6,6,3,Sleeping,7
6,6,4,Sleeping,7
6,6,5,Sleeping,7
6,6,6,Traveling / Commuting,10
6,6,7,Eating and Drinking,1
6,6,8,Eating and Drinking,1
6,6,9,Household Activities,3
6,6,10,Religious and Volunteer Activities,5
6,6,11,Working,11
6,6,12,Socializing and Leisure,8
6,6,13,Education,2
6,6,14,Working,11
6,6,15,Sports and Exercise,9
6,6,16,Household Activities,3
6,6,17,Sports and Exercise,9
6,6,18,Socializing and Leisure,8
6,6,19,Socializing and Leisure,8
6,6,20,Personal Care,4
6,6,21,Socializing and Leisure,8
6,6,22,Sleeping,7
6,6,23,Sleeping,7
7,0,0,Sleeping,7
7,0,1,Sleeping,7
7,0,2,Sleeping,7
7,0,3,Sleeping,7
7,0,4,Sleeping,7
7,0,5,Sleeping,7
7,0,6,Caring for Household Members,0
7,0,7,Personal Care,4
7,0,8,Education,2
7,0,9,Working,11
7,0,10,Religious and Volunteer Activities,5
7,0,11,Working,11
7,0,12,Working,11
7,0,13,Eating and Drinking,1
7,0,14,Traveling / Commuting,10
7,0,15,Education,2
7,0,16,Working,11
7,0,17,Sports and Exercise,9
7,0,18,Education,2
7,0,19,Socializing and Leisure,8
7,0,20,Socializing and Leisure,8
7,0,21,Personal Care,4
7,0,22,Sleeping,7
7,0,23,Socializing and Leisure,8
8,1,0,Eating and Drinking,1
8,1,1,Sleeping,7
8,1,2,Sleeping,7
8,1,3,Sleeping,7
8,1,4,Sleeping,7
8,1,5,Sports and Exercise,9
8,1,6,Traveling / Commuting,10
8,1,7,Education,2
8,1,8,Sports and Exercise,9
8,1,9,Eating and Drinking,1
8,1,10,Working,11
8,1,11,Traveling / Commuting,10
8,1,12,Shopping,6
8,1,13,Personal Care,4
8,1,14,Eating and Drinking,1
8,1,15,Socializing and Leisure,8
8,1,16,Personal Care,4
8,1,17,Working,11
8,1,18,Shopping,6
8,1,19,Socializing and Leisure,8
8,1,20,Socializing and Leisure,8
8,1,21,Personal Care,4
8,1,22,Socializing and Leisure,8
8,1,23,Sleeping,7
9,2,0,Sleeping,7
9,2,1,Sleeping,7
9,2,2,Sleeping,7
9,2,3,Sleeping,7
9,2,4,Sleeping,7
9,2,5,Personal Care,4
9,2,6,Sleeping,7
9,2,7,Working,11
9,2,8,Working,11
9,2,9,Working,11
9,2,10,Religious and Volunteer Activities,5
9,2,11,Working,11
9,2,12,Traveling / Commuting,10
9,2,13,Shopping,6
9,2,14,Education,2
9,2,15,Household Activities,3
9,2,16,Shopping,6
9,2,17,Shopping,6
9,2,18,Eating and Drinking,1
9,2,19,Socializing and Leisure,8
9,2,20,Household Activities,3
9,2,21,Sleeping,7
9,2,22,Household Activities,3
9,2,23,Sleeping,7
10,3,0,Shopping,6
10,3,1,Socializing and Leisure,8
10,3,2,Household Activities,3
10,3,3,Sleeping,7
10,3,4,Sleeping,7
10,3,5,Traveling / Commuting,10
10,3,6,Eating and Drinking,1
10,3,7,Religious and Volunteer Activities,5
10,3,8,Religious and Volunteer Activities,5
10,3,9,Education,2
10,3,10,Working,11
10,3,11,Working,11
10,3,12,Traveling / Commuting,10
10,3,13,Working,11
10,3,14,Working,11
10,3,15,Shopping,6
10,3,16,Traveling / Commuting,10
10,3,17,Sports and Exercise,9
10,3,18,Socializing and Leisure,8
10,3,19,Personal Care,4
10,3,20,Socializing and Leisure,8
10,3,21,Religious and Volunteer Activities,5
10,3,22,Sleeping,7
10,3,23,Sleeping,7
11,4,0,Sleeping,7
11,4,1,Sleeping,7
11,4,2,Sleeping,7
11,4,3,Sleeping,7
11,4,4,Sleeping,7
11,4,5,Sleeping,7
11,4,6,Education,2
11,4,7,Traveling / Commuting,10
11,4,8,Traveling / Commuting,10
11,4,9,Religious and Volunteer Activities,5
11,4,10,Shopping,6
11,4,11,Shopping,6
11,4,12,Education,2
11,4,13,Socializing and Leisure,8
11,4,14,Sports and Exercise,9
11,4,15,Education,2
11,4,16,Traveling / Commuting,10
11,4,17,Household Activities,3
11,4,18,Household Activities,3
11,4,19,Personal Care,4
11,4,20,Socializing and Leisure,8
11,4,21,Sleeping,7
11,4,22,Personal Care,4
11,4,23,Sleeping,7
12,5,0,Sleeping,7
12,5,1,Sleeping,7
12,5,2,Sleeping,7
12,5,3,Sleeping,7
12,5,4,Personal Care,4
12,5,5,Sleeping,7
12,5,6,Personal Care,4
12,5,7,Caring for Household Members,0
12,5,8,Education,2
12,5,9,Working,11
12,5,10,Socializing and Leisure,8
12,5,11,Eating and Drinking,1
12,5,12,Personal Care,4
12,5,13,Household Activities,3
12,5,14,Shopping,6
12,5,15,Socializing and Leisure,8
12,5,16,Sports and Exercise,9
12,5,17,Religious and Volunteer Activities,5
12,5,18,Shopping,6
12,5,19,Household Activities,3
12,5,20,Sports and Exercise,9
12,5,21,Eating and Drinking,1
12,5,22,Sleeping,7
12,5,23,Sleeping,7
13,6,0,Sleeping,7
13,6,1,Sports and Exercise,9
13,6,2,Sleeping,7
13,6,3,Sleeping,7
13,6,4,Sleeping,7
13,6,5,Sleeping,7
13,6,6,Personal Care,4
13,6,7,Eating and Drinking,1
13,6,8,Shopping,6
13,6,9,Education,2
13,6,10,Sports and Exercise,9
13,6,11,Working,11
13,6,12,Religious and Volunteer Activities,5
13,6,13,Education,2
13,6,14,Shopping,6
13,6,15,Shopping,6
13,6,16,Household Activities,3
13,6,17,Household Activities,3
13,6,18,Household Activities,3
13,6,19,Sports and Exercise,9
13,6,20,Sleeping,7
13,6,21,Sleeping,7
13,6,22,Sleeping,7
13,6,23,Sleeping,7
14,0,0,Sleeping,7
14,0,1,Sleeping,7
14,0,2,Sleeping,7
14,0,3,Sleeping,7
14,0,4,Sleeping,7
14,0,5,Personal Care,4
14,0,6,Personal Care,4
14,0,7,Working,11
14,0,8,Working,11
14,0,9,Socializing and Leisure,8
14,0,10,Socializing and Leisure,8
14,0,11,Personal Care,4
14,0,12,Working,11
14,0,13,Shopping,6
14,0,14,Household Activities,3
14,0,15,Education,2
14,0,16,Socializing and Leisure,8
14,0,17,Working,11
14,0,18,Personal Care,4
14,0,19,Socializing and Leisure,8
14,0,20,Sleeping,7
14,0,21,Socializing and Leisure,8
14,0,22,Socializing and Leisure,8
14,0,23,Sleeping,7
15,1,0,Sleeping,7
15,1,1,Sleeping,7
15,1,2,Sleeping,7
15,1,3,Sleeping,7
15,1,4,Shopping,6
15,1,5,Sleeping,7
15,1,6,Traveling / Commuting,10
15,1,7,Traveling / Commuting,10
15,1,8,Working,11
15,1,9,Eating and Drinking,1
15,1,10,Working,11
15,1,11,Personal Care,4
15,1,12,Eating and Drinking,1
15,1,13,Sports and Exercise,9
15,1,14,Eating and Drinking,1
15,1,15,Working,11
15,1,16,Traveling / Commuting,10
15,1,17,Personal Care,4
15,1,18,Education,2
15,1,19,Household Activities,3
15,1,20,Personal Care,4
15,1,21,Socializing and Leisure,8
15,1,22,Household Activities,3
15,1,23,Socializing and Leisure,8
16,2,0,Sleeping,7
16,2,1,Sleeping,7
16,2,2,Sleeping,7
16,2,3,Sleeping,7
16,2,4,Sleeping,7
16,2,5,Shopping,6
16,2,6,Traveling / Commuting,10
16,2,7,Working,11
16,2,8,Working,11
16,2,9,Education,2
16,2,10,Working,11
16,2,11,Religious and Volunteer Activities,5
16,2,12,Traveling / Commuting,10
16,2,13,Working,11
16,2,14,Education,2
16,2,15,Sports and Exercise,9
16,2,16,Working,11
16,2,17,Traveling / Commuting,10
16,2,18,Shopping,6
16,2,19,Sports and Exercise,9
16,2,20,Household Activities,3
16,2,21,Sports and Exercise,9
16,2,22,Sleeping,7
16,2,23,Sleeping,7
17,3,0,Working,11
17,3,1,Sleeping,7
17,3,2,Sleeping,7
17,3,3,Socializing and Leisure,8
17,3,4,Socializing and Leisure,8
17,3,5,Personal Care,4
17,3,6,Caring for Household Members,0
17,3,7,Household Activities,3
17,3,8,Working,11
17,3,9,Working,11
17,3,10,Sports and Exercise,9
17,3,11,Education,2
17,3,12,Education,2
17,3,13,Education,2
17,3,14,Eating and Drinking,1
17,3,15,Household Activities,3
17,3,16,Eating and Drinking,1
17,3,17,Socializing and Leisure,8
17,3,18,Caring for Household Members,0
17,3,19,Traveling / Commuting,10
17,3,20,Household Activities,3
17,3,21,Sleeping,7
17,3,22,Sleeping,7
17,3,23,Sleeping,7
18,4,0,Sleeping,7
18,4,1,Sleeping,7
18,4,2,Sleeping,7
18,4,3,Sleeping,7
18,4,4,Sleeping,7
18,4,5,Sports and Exercise,9
18,4,6,Shopping,6
18,4,7,Personal Care,4
18,4,8,Personal Care,4
18,4,9,Religious and Volunteer Activities,5
18,4,10,Working,11
18,4,11,Working,11
18,4,12,Education,2
18,4,13,Traveling / Commuting,10
18,4,14,Religious and Volunteer Activities,5
18,4,15,Sports and Exercise,9
18,4,16,Household Activities,3
18,4,17,Eating and Drinking,1
18,4,18,Sports and Exercise,9
18,4,19,Socializing and Leisure,8
18,4,20,Caring for Household Members,0
18,4,21,Sports and Exercise,9
18,4,22,Sleeping,7
18,4,23,Sleeping,7
19,5,0,Sleeping,7
19,5,1,Sleeping,7
19,5,2,Sleeping,7
19,5,3,Sleeping,7
19,5,4,Sleeping,7
19,5,5,Eating and Drinking,1
19,5,6,Sports and Exercise,9
19,5,7,Caring for Household Members,0
19,5,8,Religious and Volunteer Activities,5
19,5,9,Working,11
19,5,10,Working,11
19,5,11,Education,2
19,5,12,Eating and Drinking,1
19,5,13,Religious and Volunteer Activities,5
19,5,14,Personal Care,4
19,5,15,Religious and Volunteer Activities,5
19,5,16,Personal Care,4
19,5,17,Traveling / Commuting,10
19,5,18,Shopping,6
19,5,19,Religious and Volunteer Activities,5
19,5,20,Personal Care,4
19,5,21,Socializing and Leisure,8
19,5,22,Sports and Exercise,9
19,5,23,Sleeping,7
20,6,0,Sleeping,7
20,6,1,Sleeping,7
20,6,2,Sleeping,7
20,6,3,Sleeping,7
20,6,4,Sleeping,7
20,6,5,Sports and Exercise,9
20,6,6,Sleeping,7
20,6,7,Eating and Drinking,1
20,6,8,Traveling / Commuting,10
20,6,9,Traveling / Commuting,10
20,6,10,Household Activities,3
20,6,11,Shopping,6
20,6,12,Eating and Drinking,1
20,6,13,Working,11
20,6,14,Working,11
20,6,15,Working,11
20,6,16,Shopping,6
20,6,17,Eating and Drinking,1
20,6,18,Religious and Volunteer Activities,5
20,6,19,Religious and Volunteer Activities,5
20,6,20,Socializing and Leisure,8
20,6,21,Socializing and Leisure,8
20,6,22,Sleeping,7
20,6,23,Household Activities,3
21,0,0,Sleeping,7
21,0,1,Sleeping,7
21,0,2,Working,11
21,0,3,Sleeping,7
21,0,4,Socializing and Leisure,8
21,0,5,Household Activities,3
21,0,6,Caring for Household Members,0
21,0,7,Working,11
21,0,8,Traveling / Commuting,10
21,0,9,Traveling / Commuting,10
21,0,10,Personal Care,4
21,0,11,Personal Care,4
21,0,12,Working,11
21,0,13,Education,2
21,0,14,Religious and Volunteer Activities,5
21,0,15,Working,11
21,0,16,Shopping,6
21,0,17,Caring for Household Members,0
21,0,18,Religious and Volunteer Activities,5
21,0,19,Education,2
21,0,20,Sports and Exercise,9
21,0,21,Caring for Household Members,0
21,0,22,Sleeping,7
21,0,23,Sleeping,7
22,1,0,Sleeping,7
22,1,1,Sleeping,7
22,1,2,Sleeping,7
22,1,3,Religious and Volunteer Activities,5
22,1,4,Religious and Volunteer Activities,5
22,1,5,Personal Care,4
22,1,6,Sports and Exercise,9
22,1,7,Traveling / Commuting,10
22,1,8,Traveling / Commuting,10
22,1,9,Working,11
22,1,10,Household Activities,3
22,1,11,Eating and Drinking,1
22,1,12,Religious and Volunteer Activities,5
22,1,13,Shopping,6
22,1,14,Working,11
22,1,15,Socializing and Leisure,8
22,1,16,Socializing and Leisure,8
22,1,17,Caring for Household Members,0
22,1,18,Eating and Drinking,1
22,1,19,Socializing and Leisure,8
22,1,20,Socializing and Leisure,8
22,1,21,Socializing and Leisure,8
22,1,22,Personal Care,4
22,1,23,Socializing and Leisure,8
23,2,0,Sleeping,7
23,2,1,Sleeping,7
23,2,2,Sleeping,7
23,2,3,Sleeping,7
23,2,4,Sleeping,7
23,2,5,Sleeping,7
23,2,6,Sports and Exercise,9
23,2,7,Caring for Household Members,0
23,2,8,Education,2
23,2,9,Working,11
23,2,10,Working,11
23,2,11,Personal Care,4
23,2,12,Working,11
23,2,13,Shopping,6
23,2,14,Working,11
23,2,15,Working,11
23,2,16,Traveling / Commuting,10
23,2,17,Caring for Household Members,0
23,2,18,Shopping,6
23,2,19,Sports and Exercise,9
23,2,20,Caring for Household Members,0
23,2,21,Socializing and Leisure,8
23,2,22,Socializing and Leisure,8
23,2,23,Socializing and Leisure,8
24,3,0,Sleeping,7
24,3,1,Caring for Household Members,0
24,3,2,Sleeping,7
24,3,3,Sleeping,7
24,3,4,Sleeping,7
24,3,5,Traveling / Commuting,10
24,3,6,Working,11
24,3,7,Eating and Drinking,1
24,3,8,Socializing and Leisure,8
24,3,9,Working,11
24,3,10,Eating and Drinking,1
24,3,11,Eating and Drinking,1
24,3,12,Eating and Drinking,1
24,3,13,Eating and Drinking,1
24,3,14,Working,11
24,3,15,Socializing and Leisure,8
24,3,16,Working,11
24,3,17,Household Activities,3
24,3,18,Traveling / Commuting,10
24,3,19,Caring for Household Members,0
24,3,20,Socializing and Leisure,8
24,3,21,Sleeping,7
24,3,22,Sleeping,7
24,3,23,Sleeping,7
25,4,0,Sleeping,7
25,4,1,Sleeping,7
25,4,2,Sleeping,7
25,4,3,Sleeping,7
25,4,4,Sleeping,7
25,4,5,Personal Care,4
25,4,6,Personal Care,4
25,4,7,Working,11
25,4,8,Caring for Household Members,0
25,4,9,Education,2
25,4,10,Personal Care,4
25,4,11,Education,2
25,4,12,Shopping,6
25,4,13,Eating and Drinking,1
25,4,14,Education,2
25,4,15,Traveling / Commuting,10
25,4,16,Eating and Drinking,1
25,4,17,Household Activities,3
25,4,18,Education,2
25,4,19,Socializing and Leisure,8
25,4,20,Eating and Drinking,1
25,4,21,Personal Care,4
25,4,22,Sleeping,7
25,4,23,Sleeping,7
26,5,0,Sleeping,7
26,5,1,Sleeping,7
26,5,2,Sleeping,7
26,5,3,Sleeping,7
26,5,4,Sleeping,7
26,5,5,Sleeping,7
26,5,6,Sports and Exercise,9
26,5,7,Traveling / Commuting,10
26,5,8,Caring for Household Members,0
26,5,9,Shopping,6
26,5,10,Working,11
26,5,11,Working,11
26,5,12,Household Activities,3
26,5,13,Working,11
26,5,14,Working,11
26,5,15,Working,11
26,5,16,Personal Care,4
26,5,17,Household Activities,3
26,5,18,Eating and Drinking,1
26,5,19,Household Activities,3
26,5,20,Personal Care,4
26,5,21,Sports and Exercise,9
26,5,22,Household Activities,3
26,5,23,Sleeping,7
27,6,0,Sleeping,7
27,6,1,Sleeping,7
27,6,2,Sleeping,7
27,6,3,Sleeping,7
27,6,4,Sleeping,7
27,6,5,Household Activities,3
27,6,6,Eating and Drinking,1
27,6,7,Personal Care,4
27,6,8,Working,11
27,6,9,Working,11
27,6,10,Socializing and Leisure,8
27,6,11,Shopping,6
27,6,12,Working,11
27,6,13,Religious and Volunteer Activities,5
27,6,14,Shopping,6
27,6,15,Working,11
27,6,16,Working,11
27,6,17,Working,11
27,6,18,Eating and Drinking,1
27,6,19,Eating and Drinking,1
27,6,20,Eating and Drinking,1
27,6,21,Eating and Drinking,1
27,6,22,Sleeping,7
27,6,23,Socializing and Leisure,8
28,0,0,Sleeping,7
28,0,1,Sleeping,7
28,0,2,Sleeping,7
28,0,3,Traveling / Commuting,10
28,0,4,Sleeping,7
28,0,5,Personal Care,4
28,0,6,Traveling / Commuting,10
28,0,7,Traveling / Commuting,10
28,0,8,Education,2
28,0,9,Working,11
28,0,10,Working,11
28,0,11,Sports and Exercise,9
28,0,12,Traveling / Commuting,10
28,0,13,Shopping,6
28,0,14,Shopping,6
28,0,15,Working,11
28,0,16,Education,2
28,0,17,Working,11
28,0,18,Household Activities,3
28,0,19,Caring for Household Members,0
28,0,20,Socializing and Leisure,8
28,0,21,Personal Care,4
28,0,22,Sleeping,7
28,0,23,Sleeping,7
29,1,0,Sleeping,7
29,1,1,Sleeping,7
29,1,2,Sleeping,7
29,1,3,Sleeping,7
29,1,4,Sleeping,7
29,1,5,Sleeping,7
29,1,6,Eating and Drinking,1
29,1,7,Personal Care,4
29,1,8,Personal Care,4
29,1,9,Religious and Volunteer Activities,5
29,1,10,Working,11
29,1,11,Education,2
29,1,12,Eating and Drinking,1
29,1,13,Sports and Exercise,9
29,1,14,Education,2
29,1,15,Shopping,6
29,1,16,Caring for Household Members,0
29,1,17,Caring for Household Members,0
29,1,18,Household Activities,3
29,1,19,Religious and Volunteer Activities,5
29,1,20,Sports and Exercise,9
29,1,21,Religious and Volunteer Activities,5
29,1,22,Sleeping,7
29,1,23,Sleeping,7
30,2,0,Shopping,6
30,2,1,Sleeping,7
30,2,2,Sleeping,7
30,2,3,Sleeping,7
30,2,4,Sleeping,7
30,2,5,Sports and Exercise,9
30,2,6,Personal Care,4
30,2,7,Traveling / Commuting,10
30,2,8,Working,11
30,2,9,Working,11
30,2,10,Working,11
30,2,11,Education,2
30,2,12,Socializing and Leisure,8
30,2,13,Household Activities,3
30,2,14,Working,11
30,2,15,Education,2
30,2,16,Household Activities,3
30,2,17,Traveling / Commuting,10
30,2,18,Caring for Household Members,0
30,2,19,Caring for Household Members,0
30,2,20,Socializing and Leisure,8
30,2,21,Eating and Drinking,1
30,2,22,Socializing and Leisure,8
30,2,23,Sleeping,7
31,3,0,Sleeping,7
31,3,1,Eating and Drinking,1
31,3,2,Sleeping,7
31,3,3,Sleeping,7
31,3,4,Working,11
31,3,5,Eating and Drinking,1
31,3,6,Personal Care,4
31,3,7,Traveling / Commuting,10
31,3,8,Socializing and Leisure,8
31,3,9,Working,11
31,3,10,Working,11
31,3,11,Education,2
31,3,12,Shopping,6
31,3,13,Household Activities,3
31,3,14,Education,2
31,3,15,Education,2
31,3,16,Working,11
31,3,17,Household Activities,3
31,3,18,Eating and Drinking,1
31,3,19,Socializing and Leisure,8
31,3,20,Sleeping,7
31,3,21,Socializing and Leisure,8
31,3,22,Socializing and Leisure,8
31,3,23,Socializing and Leisure,8
32,4,0,Sleeping,7
32,4,1,Sleeping,7
32,4,2,Sleeping,7
32,4,3,Sleeping,7
32,4,4,Sleeping,7
32,4,5,Personal Care,4
32,4,6,Sports and Exercise,9
32,4,7,Personal Care,4
32,4,8,Working,11
32,4,9,Education,2
32,4,10,Education,2
32,4,11,Socializing and Leisure,8
32,4,12,Socializing and Leisure,8
32,4,13,Caring for Household Members,0
32,4,14,Working,11
32,4,15,Working,11
32,4,16,Working,11
32,4,17,Traveling / Commuting,10
32,4,18,Socializing and Leisure,8
32,4,19,Caring for Household Members,0
32,4,20,Socializing and Leisure,8
32,4,21,Religious and Volunteer Activities,5
32,4,22,Sleeping,7
32,4,23,Sleeping,7
33,5,0,Sleeping,7
33,5,1,Sleeping,7
33,5,2,Sleeping,7
33,5,3,Sleeping,7
33,5,4,Caring for Household Members,0
33,5,5,Personal Care,4
33,5,6,Caring for Household Members,0
33,5,7,Traveling / Commuting,10
33,5,8,Education,2
33,5,9,Working,11
33,5,10,Shopping,6
33,5,11,Shopping,6
33,5,12,Working,11
33,5,13,Education,2
33,5,14,Traveling / Commuting,10
33,5,15,Traveling / Commuting,10
33,5,16,Caring for Household Members,0
33,5,17,Eating and Drinking,1
33,5,18,Religious and Volunteer Activities,5
33,5,19,Education,2
33,5,20,Personal Care,4
33,5,21,Sports and Exercise,9
33,5,22,Socializing and Leisure,8
33,5,23,Sleeping,7
34,6,0,Sleeping,7
34,6,1,Sleeping,7
34,6,2,Sleeping,7
34,6,3,Sleeping,7
34,6,4,Personal Care,4
34,6,5,Sleeping,7
34,6,6,Eating and Drinking,1
34,6,7,Working,11
34,6,8,Caring for Household Members,0
34,6,9,Religious and Volunteer Activities,5
34,6,10,Working,11
34,6,11,Working,11
34,6,12,Sports and Exercise,9
34,6,13,Working,11
34,6,14,Working,11
34,6,15,Working,11
34,6,16,Working,11
34,6,17,Working,11
34,6,18,Caring for Household Members,0
34,6,19,Caring for Household Members,0
34,6,20,Traveling / Commuting,10
34,6,21,Household Activities,3
34,6,22,Household Activities,3
34,6,23,Sleeping,7
35,0,0,Sleeping,7
35,0,1,Sleeping,7
35,0,2,Sleeping,7
35,0,3,Sports and Exercise,9
35,0,4,Sleeping,7
35,0,5,Personal Care,4
35,0,6,Sleeping,7
35,0,7,Religious and Volunteer Activities,5
35,0,8,Caring for Household Members,0
35,0,9,Socializing and Leisure,8
35,0,10,Eating and Drinking,1
35,0,11,Education,2
35,0,12,Eating and Drinking,1
35,0,13,Education,2
35,0,14,Working,11
35,0,15,Working,11
35,0,16,Personal Care,4
35,0,17,Shopping,6
35,0,18,Shopping,6
35,0,19,Personal Care,4
35,0,20,Socializing and Leisure,8
35,0,21,Caring for Household Members,0
35,0,22,Personal Care,4
35,0,23,Sleeping,7
36,1,0,Sleeping,7
36,1,1,Sleeping,7
36,1,2,Sleeping,7
36,1,3,Sleeping,7
36,1,4,Personal Care,4
36,1,5,Traveling / Commuting,10
36,1,6,Eating and Drinking,1
36,1,7,Eating and Drinking,1
36,1,8,Sports and Exercise,9
36,1,9,Working,11
36,1,10,Personal Care,4
36,1,11,Working,11
36,1,12,Sports and Exercise,9
36,1,13,Socializing and Leisure,8
36,1,14,Personal Care,4
36,1,15,Working,11
36,1,16,Working,11
36,1,17,Sports and Exercise,9
36,1,18,Personal Care,4
36,1,19,Personal Care,4
36,1,20,Sports and Exercise,9
36,1,21,Sleeping,7
36,1,22,Household Activities,3
36,1,23,Sleeping,7
37,2,0,Sleeping,7
37,2,1,Sleeping,7
37,2,2,Sleeping,7
37,2,3,Sleeping,7
37,2,4,Personal Care,4
37,2,5,Personal Care,4
37,2,6,Caring for Household Members,0
37,2,7,Eating and Drinking,1
37,2,8,Working,11
37,2,9,Traveling / Commuting,10
37,2,10,Personal Care,4
37,2,11,Eating and Drinking,1
37,2,12,Eating and Drinking,1
37,2,13,Personal Care,4
37,2,14,Working,11
37,2,15,Shopping,6
37,2,16,Household Activities,3
37,2,17,Traveling / Commuting,10
37,2,18,Education,2
37,2,19,Household Activities,3
37,2,20,Household Activities,3
37,2,21,Household Activities,3
37,2,22,Household Activities,3
37,2,23,Sleeping,7
38,3,0,Sleeping,7
38,3,1,Sleeping,7
38,3,2,Sleeping,7
38,3,3,Sleeping,7
38,3,4,Sleeping,7
38,3,5,Traveling / Commuting,10
38,3,6,Sports and Exercise,9
38,3,7,Personal Care,4
38,3,8,Traveling / Commuting,10
38,3,9,Household Activities,3
38,3,10,Traveling / Commuting,10
38,3,11,Education,2
38,3,12,Working,11
38,3,13,Personal Care,4
38,3,14,Working,11
38,3,15,Shopping,6
38,3,16,Socializing and Leisure,8
38,3,17,Household Activities,3
38,3,18,Eating and Drinking,1
38,3,19,Sports and Exercise,9
38,3,20,Religious and Volunteer Activities,5
38,3,21,Socializing and Leisure,8
38,3,22,Sleeping,7
38,3,23,Sleeping,7
39,4,0,Sleeping,7
39,4,1,Household Activities,3
39,4,2,Sleeping,7
39,4,3,Sleeping,7
39,4,4,Sleeping,7
39,4,5,Personal Care,4
39,4,6,Caring for Household Members,0
39,4,7,Traveling / Commuting,10
39,4,8,Working,11
